task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861645.8957796,0,5.0,44.0,2404.504125,1.4314313929445108,0.00037612030867378377,2.5403225806451615,2.1533075069456695e-05,161,2,41.54746890068054,30.50736453400168
Load for 3 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861676.92222,3,12.2,53.0,2470.4883125,45.38482572705677,0.000643388347349155,15.636774193548389,0.00013281317053516283,159,1,31.027068614959717,30.60917342099856
Load for 6 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861708.0628958,6,22.9,57.0,2782.765875,76.2361648967495,0.0007852407877754612,45.20264516129032,0.00038409021052205965,178,2,31.136895179748535,30.582065591002902
Load for 9 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861739.1693892,9,32.2,53.0,2985.71678125,93.3325909425021,0.0010383771248677017,79.43787901061218,0.0006748331769033504,266,2,31.1038601398468,30.566226797000127
Load for 12 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861770.2447922,12,41.4,56.0,3206.83459375,123.02110940943629,0.0012440137061823899,106.22233175845183,0.000901886908494226,278,2,31.06801199913025,30.572869749998063
Load for 16 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861801.3405495,16,52.0,59.0,3497.22140625,147.40291619865533,0.0014847857724110004,151.95548639522778,0.0012909726593646263,278,2,31.09264326095581,30.595551153000997
Load for 19 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861832.4449117,19,64.0,61.0,3411.51403125,174.78376979270854,0.001472625799905254,161.29498553839264,0.0013694488571545866,279,3,31.248048543930054,30.567659471998923
Load for 22 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861863.553106,22,73.1,60.0,3552.37396875,173.30973054466918,0.0014398759664831836,165.96767419530283,0.0014106243805873664,324,2,31.02893352508545,30.57063357000152
Load for 25 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861894.641952,25,80.1,60.0,3314.47165625,169.42739506124113,0.0014223668401147846,169.16041577918944,0.0014371547304600357,326,3,31.0912823677063,30.577015545000904
Load for 28 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861925.7400923,28,92.5,59.0,3611.6851875,167.4199618733835,0.0014106022938975976,170.8023391866958,0.0014508931444192387,280,3,31.036678552627563,30.5716582189998
Load for 32 threads or % load on some_cores,some_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861956.8230855,32,100.0,58.0,3399.25659375,166.03346252141944,0.0014042897956531592,172.11738734560865,0.0014619673561903947,290,2,31.138123273849487,30.579071764001128
