,timestamp,run_id,duration,emissions_sum,energy_consumed,experiment_id,experiment_name,experiment_description,country_name,country_iso_code,region,on_cloud,cloud_provider,cloud_region,project_id,project_name,project_description,team_id,name,description
0,2021-07-04T06:36:04.747877,9780b248-7c75-48c0-9f36-2f9221e798a5,23,0.0002662539704149914,0.0006270938490490383,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
1,2021-07-04T06:43:40.847861,95ae3555-a329-4a1f-b3b4-64f2e89b5fcc,122,0.002314276735011871,0.0054506931981567995,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
2,2021-07-04T06:45:17.688324,95ae3555-a329-4a1f-b3b4-64f2e89b5fcc,96,0.0017474370585326897,0.004115645784730407,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
3,2021-07-04T06:46:06.586514,8f42a9e2-dab7-4ac8-8136-84839449d1ec,32,0.0005538065718429696,0.0013043512336149052,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
4,2021-07-04T06:46:33.616882,8f42a9e2-dab7-4ac8-8136-84839449d1ec,27,0.0005651481524506285,0.0013310634566344212,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
5,2021-07-04T06:47:03.610736,8f42a9e2-dab7-4ac8-8136-84839449d1ec,30,0.000552322098360413,0.0013008549319877905,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
6,2021-07-04T06:47:33.666190,8f42a9e2-dab7-4ac8-8136-84839449d1ec,29,0.0005739147248076124,0.0013517108993513858,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
7,2021-07-04T06:47:53.278494,8f42a9e2-dab7-4ac8-8136-84839449d1ec,19,0.00025663313466111216,0.0006044344050806904,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
8,2021-07-06T19:29:27.002512,0dc75936-33a7-4c60-b599-180b40bd28b3,7,3.3591103711509105e-05,7.91153442235002e-05,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
9,2021-07-06T19:29:39.570702,55ab25f7-c63c-4963-88e2-cee9f6875861,3,1.4911951055817106e-05,3.512132709175443e-05,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,Code Carbon user test,Code Carbon user test with default project,France,FRA,france,False,,,e60afa92-17b7-4720-91a0-1ae91e409ba1,Default Project,Default Project Code Carbon DataForGood Team,8edb03e1-9a28-452a-9c93-a3b6560136d7,DataForGood,DataForGood Team
